#Fitness:-0.417381, A: 37456.6, E: 81646, NS: 1.5901, yinf: 0.236859
#Time,Temp,Exp,Model
3648,601.63,0.6518,0.627694
3657,602.42,0.6463,0.622667
3667,603.22,0.6408,0.617081
3676,603.99,0.6353,0.612055
3686,604.77,0.6299,0.606474
3695,605.54,0.6245,0.601456
3705,606.33,0.6189,0.595888
3714,607.11,0.6132,0.590886
3724,607.89,0.6076,0.585339
3733,608.68,0.6021,0.580359
3743,609.48,0.5963,0.574842
3752,610.26,0.5907,0.569892
3762,611.08,0.5847,0.564411
3771,611.88,0.5787,0.559498
3781,612.7,0.5728,0.554061
3790,613.5,0.5667,0.549191
3800,614.31,0.5605,0.543806
3809,615.12,0.554,0.538986
3819,615.91,0.5475,0.53366
3828,616.73,0.5412,0.528895
3838,617.52,0.5344,0.523635
3847,618.32,0.5276,0.518932
3857,619.13,0.5208,0.513743
3866,619.92,0.5138,0.509108
3876,620.7,0.5068,0.503998
3885,621.49,0.4998,0.499435
3895,622.29,0.4926,0.494409
3904,623.07,0.4854,0.489924
3914,623.86,0.4778,0.484987
3923,624.65,0.4706,0.480584
3933,625.44,0.4632,0.475741
3942,626.22,0.4556,0.471425
3952,627.02,0.4483,0.46668
3961,627.81,0.441,0.462455
3971,628.61,0.4334,0.457812
3980,629.4,0.4261,0.453681
3990,630.19,0.4189,0.449144
3999,630.99,0.4118,0.44511
4009,631.79,0.4048,0.440682
4018,632.58,0.3978,0.436747
4028,633.38,0.3913,0.432432
4037,634.17,0.385,0.428598
4047,634.98,0.3788,0.424397
4056,635.78,0.3729,0.420667
4066,636.59,0.3674,0.416582
4075,637.38,0.3624,0.412957
4085,638.2,0.3574,0.408989
4094,638.99,0.3532,0.40547
4104,639.79,0.349,0.40162
4113,640.6,0.3452,0.398209
4123,641.41,0.3419,0.394478
4132,642.2,0.3388,0.391173
4142,643.01,0.3358,0.387561
4151,643.82,0.3334,0.384364
4161,644.62,0.3312,0.380871
4170,645.42,0.3294,0.377781
4180,646.23,0.3276,0.374407
4189,647.03,0.3261,0.371423
4199,647.84,0.3247,0.368166
4208,648.64,0.3237,0.365288
4218,649.44,0.3226,0.362148
4227,650.23,0.3218,0.359374
4237,651.03,0.3211,0.35635
4246,651.84,0.3202,0.353679
4256,652.62,0.3193,0.350769
4265,653.41,0.3185,0.348199
4275,654.2,0.3179,0.345401
4284,655,0.3172,0.342932
4294,655.79,0.3167,0.340243
4303,656.57,0.316,0.337872
4313,657.36,0.3154,0.335291
4322,658.16,0.3148,0.333015
4332,658.95,0.3141,0.33054
4341,659.73,0.3136,0.328358
4351,660.53,0.3129,0.325986
4360,661.31,0.3122,0.323896
4370,662.11,0.3118,0.321623
4379,662.9,0.3113,0.319623
4389,663.68,0.3106,0.317448
4398,664.47,0.3102,0.315534
4408,665.25,0.3095,0.313454
4417,666.04,0.3087,0.311624
4427,666.83,0.3083,0.309636
4436,667.62,0.3078,0.307887
4446,668.41,0.3073,0.305989
4455,669.2,0.3066,0.304319
4465,669.99,0.306,0.302507
4474,670.77,0.3053,0.300913
4484,671.57,0.3048,0.299184
4493,672.36,0.3044,0.297664
4503,673.15,0.3039,0.296016
4512,673.94,0.3033,0.294567
4522,674.72,0.3028,0.292996
4531,675.51,0.3023,0.291616
4541,676.28,0.3014,0.290119
4550,677.07,0.3007,0.288805
4560,677.86,0.3002,0.28738
4569,678.65,0.2996,0.286129
4579,679.43,0.2992,0.284773
4588,680.22,0.2985,0.283583
4598,681,0.2979,0.282293
4607,681.79,0.2976,0.281161
4617,682.57,0.2971,0.279935
4626,683.36,0.2965,0.278859
4636,684.14,0.2961,0.277694
4645,684.94,0.2955,0.276671
4655,685.73,0.295,0.275564
4664,686.53,0.2945,0.274592
4674,687.31,0.294,0.273541
4683,688.09,0.2935,0.272618
4693,688.87,0.2928,0.27162
4702,689.67,0.2924,0.270744
4712,690.46,0.2918,0.269796
4721,691.24,0.291,0.268965
4731,692.02,0.2904,0.268066
4740,692.8,0.29,0.267278
4750,693.58,0.2895,0.266425
4759,694.38,0.2891,0.265677
4769,695.17,0.2885,0.264868
4778,695.95,0.2879,0.264159
4788,696.74,0.2874,0.263391
4797,697.52,0.287,0.262719
4807,698.3,0.2866,0.261992
4816,699.09,0.286,0.261355
4826,699.88,0.2854,0.260665
4835,700.67,0.2848,0.260061
4845,701.44,0.2842,0.259408
4854,702.23,0.2838,0.258836
4864,703,0.2835,0.258217
4873,703.79,0.283,0.257675
4883,704.57,0.2825,0.257089
4892,705.35,0.282,0.256576
4902,706.15,0.2816,0.256021
4911,706.92,0.2811,0.255534
4921,707.71,0.2807,0.255009
4930,708.49,0.2803,0.254548
4940,709.27,0.28,0.254051
4949,710.04,0.2794,0.253615
4959,710.84,0.279,0.253143
4968,711.61,0.2784,0.252731
4978,712.39,0.278,0.252284
4987,713.17,0.2774,0.251894
4997,713.95,0.2769,0.251471
5006,714.73,0.2765,0.251101
